ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),Attribut1_Original
A11,"Indicator Red Slow Blow Movement 2A 250V Axial 5 X 20mm Ceramic T/R cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Through Hole",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Primary Protection on PCB|Power Supply Adapter for laptop|Switching Mode Power Supply,TIME LAG,,22.5mm,5.4mm,2A,Ceramic,5 X 20mm,e3,9.2J,Low,250V,300V,2.5W,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,5.4mm  x  22.5mm,10ms,5.4mm,22.5(Max)mm,1500A,2A,250V,250V,300V,Slow Blow
A12,"Red Indicator, 5 X 20 mm Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5x20mm,,11.7J,Low,,,,,INLINE/HOLDER,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,2.5A,250V,250V,300V,
A13,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,2.5A,Ceramic,5x20mm,e2,11.7J,Low,250V,300V,2.5W,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2.5A,250V,250V,300V,Slow Blow
A14,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic 5 X 20mm Ceramic Bulk CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,3.15A,Ceramic,5 X 20mm,e2,33.7J,Low,250V,300V,4W,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,3.15A,250V,250V,300V,Slow Blow
A15,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,,Ceramic,5x20mm,,62.4J,Low,,,,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,4A,250V,250V,150V,
A16,"Non Resettable Indicators Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5x20mm,,97.5J,Low,,,,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,5A,250V,250V,150V,
A17,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk CCC/PSE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,6.3A,Ceramic,5x20mm,e2,171J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,6.3A,250V,250V,150V,Slow Blow
A18,,Slow Blow,NA,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,,,,,8A,Ceramic,5 X 20mm,,,,250V,150V,4W,Holder,,2.0,,,,,5.2mm,20mm,,,,,,Slow Blow
A19,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bulk KC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Power Supply Adapter|Primary Protection in Equipment|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,8A,Ceramic,5x20mm,e2,268J,Low,250V,150V,4W,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000A,8A,250V,250V,150V,Slow Blow
A20,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 5 X 20mm Ceramic Box CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 16A, 250VAC, 125VDC, 500A (IR), Inline/holder, 5x20mm",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 1500 A,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,,20mm,5.2mm,16A,Ceramic,5x20mm,e2,1500J,Low,250V,,4(Typ)W,Holder,INLINE/HOLDER,2.0,125Cel,-55Cel,5.2mm  x  20mm,20ms,5.2mm,20mm,500A,16A,250V,250V,125V,Slow Blow
A21,,Slow Blow,NA,Power Supply Adapter|Primary Protection on PCB|Switching Mode Power Supply,,,,,2.5A,Ceramic,5 X 20mm,,,,250V,,,,,,,,,,,,,,,,,Slow Blow
A22,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 1500A (IR), H, Inline/holder",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 1500 A,Motor Circuit,TIME LAG,,31.8mm,6.35mm,6.3A,Glass,6.3 X 32mm,,224J,Low,250V,,1.9(Typ)W,Holder,INLINE/HOLDER,2.0,85Cel,-40Cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1500A,6.3A,250V,250V,,Slow Blow
A23,"Indicator Red Slow Blow Movement 16A 250V Holder Plastic 6.3 X 32mm Glass Box UL Electric Indicator, Time Lag Blow, 16A, 250VAC, 1000A (IR), H, Inline/holder",Slow Blow,RATED BREAKING CAPACITY AT 250 VAC: 1000 A,Motor Circuit,TIME LAG,,31.8mm,6.35mm,16A,Glass,6.3 X 32mm,e2,1690J,Low,250V,,3.8(Typ)W,Holder,INLINE/HOLDER,2.0,85Cel,-40Cel,6.35mm  x  31.8mm,15ms,6.35mm,31.8mm,1000A,16A,250V,250V,,Slow Blow
A24,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1A,Ceramic,5 X 20mm,e4,1.1J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1A,,250V,300V,Slow Blow
A25,"Indicators PN Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,1.1J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,1A,,250V,300V,
A26,"Indicator Red Slow Blow Movement 1A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1A,Ceramic,5 X 20mm,e4,1.1J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1A,,250V,300V,Slow Blow
A27,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1.25A,Ceramic,5 X 20mm,e4,1.86J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1.25A,,250V,300V,Slow Blow
A28,"Indicators PN Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,1.86J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,1.25A,,250V,300V,
A29,"Indicator Red Slow Blow Movement 1.25A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.25A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1.25A,Ceramic,5 X 20mm,e4,1.86J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1.25A,,250V,300V,Slow Blow
A30,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1.6A,Ceramic,5 X 20mm,e4,4.35J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1.6A,,250V,300V,Slow Blow
A31,"Indicator Red Slow Blow Movement 1.6A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 1.6A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,1.6A,Ceramic,5 X 20mm,e4,4.35J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,1.6A,,250V,300V,Slow Blow
A32,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,2A,Ceramic,5 X 20mm,e4,9.2J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2A,,250V,300V,Slow Blow
A33,"Indicators PN Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,9.2J,Low,,,,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2A,,250V,300V,
A34,"Indicator Red Slow Blow Movement 2A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,2A,Ceramic,5 X 20mm,e4,9.2J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2A,,250V,300V,Slow Blow
A35,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,2.5A,Ceramic,5 X 20mm,e4,11.7J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2.5A,,250V,300V,Slow Blow
A36,"Indicators PN Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,11.7J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,2.5A,,250V,300V,
A37,"Indicator Red Slow Blow Movement 2.5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,2.5A,Ceramic,5 X 20mm,e4,11.7J,Low,250V,300V,2.5W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,2.5A,,250V,300V,Slow Blow
A38,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,3.15A,Ceramic,5 X 20mm,e4,33.7J,Low,250V,300V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,3.15A,,250V,300V,Slow Blow
A39,"Indicators PN Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,33.7J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,3.15A,,250V,300V,
A40,"Indicator Red Slow Blow Movement 3.15A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 3.15A, 250VAC, 300VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 300 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,3.15A,Ceramic,5 X 20mm,e4,33.7J,Low,250V,300V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,3.15A,,250V,300V,Slow Blow
A41,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,4A,Ceramic,5 X 20mm,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,4A,,250V,150V,Slow Blow
A42,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,4A,Ceramic,5 X 20mm,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,4A,,250V,150V,Slow Blow
A43,"Indicator Red Slow Blow Movement 4A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 4A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,4A,Ceramic,5 X 20mm,e4,62.4J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,4A,,250V,150V,Slow Blow
A44,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,5A,Ceramic,5 X 20mm,e4,97.5J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,5A,,250V,150V,Slow Blow
A45,"Indicators PN Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,97.5J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,5A,,250V,150V,
A46,"Indicator Red Slow Blow Movement 5A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 5A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,5A,Ceramic,5 X 20mm,e4,97.5J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,5A,,250V,150V,Slow Blow
A47,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,6.3A,Ceramic,5 X 20mm,e4,171J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,6.3A,,250V,150V,Slow Blow
A48,"Indicators PN Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,171J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1500A,6.3A,,250V,150V,
A49,"Indicator Red Slow Blow Movement 6.3A 250V Holder Plastic Melf 5 X 20mm Ceramic T/R CCC/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 150VDC, 1500A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,6.3A,Ceramic,5 X 20mm,e4,171J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1500A,6.3A,,250V,150V,Slow Blow
A50,"Indicator Red Slow Blow Movement 8A 250V Holder Plastic Melf 5 X 20mm Ceramic Bag CCC/VDE/cULus Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",Slow Blow,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,Motor Circuit,TIME LAG,,20mm,5.2mm,8A,Ceramic,5 X 20mm,e4,268J,Low,250V,150V,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,10ms,5.2mm,20mm,1000A,8A,,250V,150V,Slow Blow
A51,"Indicators PN Electric Indicator, Time Lag Blow, 8A, 250VAC, 150VDC, 1000A (IR), Surface Mount",,RATED BREAKING CAPACITY AT 150 VDC: 1500 A,,TIME LAG,,20mm,5.2mm,,,5 X 20mm,e4,268J,Low,,,,,SURFACE MOUNT,,125Cel,-55Cel,5.2mm  x  20mm,10ms,,,1000A,8A,,250V,150V,
